num_clients,mean_time,std_time,ci_lower,ci_upper,num_samples
1,0.2516,0.029022405138099765,0.21556970151441984,0.28763029848558014,5
4,0.271,0.014442775010364183,0.25306980117232386,0.2889301988276762,5
8,0.25235,0.01829006731808279,0.22964352265409715,0.2750564773459029,5
12,0.27071666666666666,0.009631869842697557,0.25875903793964333,0.28267429539369,5
16,0.285875,0.010831089511217232,0.2724285820978225,0.2993214179021775,5
20,0.30099,0.014939352395602694,0.2824433177580032,0.3195366822419968,5
24,0.311425,0.01176533426120047,0.2968187499943042,0.3260312500056958,5
28,0.3389357142857143,0.01788589471040899,0.3167310030623946,0.36114042550903397,5
32,0.34749375,0.02146789026662843,0.32084211687442965,0.37414538312557033,5
